studnr_a,Cijfer,cohort,cohort_blok,vooropl_type,profiel,vooropl_profiel,w1_prac,w2_prac,w3_prac,w4_prac,w5_prac,w6_prac,w1_quiz,w2_quiz,w3_quiz,w4_quiz,w5_quiz,w6_quiz,w7_oefen_toets,Category_total,CorrectUnassigned,IncorrectUnassigned,W1_MMLAttemps,W1_MMLMastery,W2_MMLAttemps,W2_MMLMastery,W3_MMLAttemps,W3_MMLMastery,W4_MMLAttemps,W4_MMLMastery,W5_MMLAttemps,W5_MMLMastery,W6_MMLAttemps,W6_MMLMastery,W8_MMLAttemps,W8_MMLMastery,Course,complete,Hoursviewed
532030,0,14151,14151,3,9,39,1,1,0,0,0,0,7.78,0,0,0,0,0,0,0,59,2,40,100,114,79.62962963,0,0,0,0,0,0,0,0,0,0, , , 
543850,0,14151, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
623007,0,14152,14152,1,2,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
629633,0,1314,1314,3,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,1,68,100,287,100,439,100,32,100,164,100,92,100, , , , , 
629640,0,1314,1314,3,9,39,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0.51,41,209,60,100,93,100,124,100,7,100,51,100,56,100, , , , , 
635122,0,1314,1314,3,9,39,0,0,0,0,0,0,2,1.75,4,3.67,3,0,0,2.22, , , , , , , , , , , , , , , , ,Java Essential Training,0,0.09
637793,0,14152,14152,4,0,40,1,1,1,1,0,0,8.89,3,2.71,3,0,4.62,0,0,137,9,46,100,82,100,50,69.76744186,32,95.45454545,39,100,0,0,0,0, , , 
641661,0,14151,14151,3,9,39,1,1,1,1,0,0,8.89,7,6,0,0,0,0,0,115,2,21,61.11111111,57,57.40740741,56,67.44186047,15,31.81818182,38,73.91304348,25,48.88888889,0,0, , , 
643565,0,1314,1314,1,2,12,0,0,0,0,0,0,1,3.25,3,2,0,0,0,1.42,8,73,0,0,0,0,77,100,9,100,1,2,7,9, , ,Java Essential Training,13.11,0.93
643744,0,14152,14152,3,3,33,1,1,0,0,0,0,8.89,1,1.29,0,0,0,0,0,5,1,5,11.11111111,10,7.407407407,0,0,0,0,0,0,0,0,0,0, , , 
646978,0,14151,14151,1,6,16,1,1,1,0,0,0,6.67,9,10,8,0,0,0,0, , , , , , , , , , , , , , , , , , , 
652626,0,14151,14151,2,1,21,1,1,1,1,1,1,7.78,8,4.5,4,0,5.38,0,0,220,0,32,100,90,100,71,100,39,100,47,100,61,100,5,100, , , 
653111,0,14152,14152,3,9,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
656636,0,14152,14152,1,2,12,1,1,1,0,0,0,7.78,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , 
658469,0,14152,14152,6,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , 
659118,0,14151,14151,3,3,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
664163,0,14152,14152,1,5,15,1,1,1,1,0,0,7.78,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , 
664634,0,14151, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
667859,0,14152,14152,1,2,12,0,0,0,0,0,0,6.67,5,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , 
669587,0,14151,14151,3,9,39,1,1,0,0,0,0,8.89,0,7,0,0,0,0,0,63,4,28,77.77777778,48,59.25925926,50,48.8372093,0,0,0,0,0,0,0,0, , , 
671971,0,1314,1314,4,0,40,0,0,0,0,0,0,4,3.25,5,2.33,0,0,0,2.24,146,104,79,100,125,100,149,100,15,100,116,100,55,100, , , , , 
672281,0,14151,14151,3,9,39,0,1,1,0,0,0,6.67,0,5.86,8.5,0,3.59,0,0,24,2,78,77.77777778,32,22.22222222,0,0,0,0,0,0,0,0,0,0, , , 
673651,0,1314,1314,1,2,12,0,0,0,0,0,0,0,4.13,5,0,8,0,0,2.63,96,153,63,100,155,100,97,100,10,100,66,100,67,100, , , , , 
674235,0,1314,1314,1,2,12,0,0,0,0,0,0,0,5.38,3,2,1,0,0,1.75, , , , , , , , , , , , , , , , , , , 
675865,0,1314,1314,1,2,12,0,0,0,0,0,0,1,2.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , 
677300,0,1314,1314,1,2,12,0,0,0,0,0,0,0,2.25,0,2.67,2,0,0,1.06,83,124,43,88,104,100,151,99,6,100,46,90,3,3, , ,Up and Running with Java Applications,0,0.04
680590,0,14152,14152,1,4,14,1,1,1,1,1,0,5.56,6,3.71,0,0,0,0,0,105,1,32,77.77777778,125,100,104,88.37209302,0,0,0,0,0,0,0,0, , , 
683024,0,14152,14152,3,3,33,1,1,1,1,1,0,6.67,8,5.5,4.5,0,5,0,0,205,0,37,100,94,100,64,100,36,100,29,100,52,100,0,0, , , 
683427,0,14151, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
683728,0,14151,14151,3,5,35,1,1,1,0,0,0,10,8,6.21,8,60,0,0,0,122,0,33,100,79,100,55,79.06976744,28,72.72727273,0,0,0,0,0,0, , , 
683944,0,1314,1314,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,105,43,100,187,100,331,100,12,100,59,100,44,100, , , , , 
684040,0,14151,14151,1,2,12,0,1,0,0,0,0,7.78,6,6,9.5,0,5,0,0,163,15,44,100,133,100,63,67.44186047,11,13.63636364,43,60.86956522,96,100,15,100, , , 
685418,0,14151,14151,1,5,15,0,1,0,1,1,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , 
685812,0,14152,14152,3,3,33,0,1,1,0,0,0,5.56,1,2.71,0,0,0,0,0,57,2,61,100,66,51.85185185,0,0,37,54.54545455,1,4.347826087,0,0,0,0, , , 
688647,0,14151,14151,1,5,15,1,1,1,1,1,1,0,0,0,0,0,0,0,0,207,9,51,100,104,100,109,100,39,100,34,100,60,91.11111111,7,100, , , 
688655,0,14151,14151,3,9,39,1,1,1,1,1,1,4.44,3,0,0,0,0,0,0,225,0,62,100,120,100,77,100,24,100,30,100,54,100,5,100, , , 
689451,0,1314,1314,3,9,39,0,0,0,0,0,0,5,0,7,0,5,0,0,2.62,131,80,52,100,151,100,424,93,26,100,94,100,7,11, , , , , 
689687,0,1314,1314,1,2,12,0,0,0,0,0,0,5,2.5,3,2.67,3,0,0,2.49,55,100,80,100,278,100,159,51,7,100,126,41,98,37, , , , , 
