studnr_a;result;cohort;cohort_blok;cohort_jaar;vooropl_type;profiel;vooropl_profiel;w1_prac;w2_prac;w3_prac;w4_prac;w5_prac;w6_prac;w1_quiz;w2_quiz;w3_quiz;w4_quiz;w5_quiz;w6_quiz;w7_oefen_toets;Category_total;CorrectUnassigned;IncorrectUnassigned;W1_MMLAttemps;W1_MMLMastery;W2_MMLAttemps;W2_MMLMastery;W3_MMLAttemps;W3_MMLMastery;W4_MMLAttemps;W4_MMLMastery;W5_MMLAttemps;W5_MMLMastery;W6_MMLAttemps;W6_MMLMastery;W8_MMLAttemps;W8_MMLMastery;Course;complete;Hoursviewed
507960;9,5;1314;1314;2013;1;5;15;0;0;0;0;0;0;6;8;3;5;7;0;0;4,46; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
515693;1,4;1314;1314;2013;1;2;12;0;0;0;0;0;0;4;0;7;1;3;0;0;2,31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;56,97;7,56
526122;10;14151;14151;2014;5;0;50;1;1;1;1;1;1;10;9;8,5;4,5;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
527565;4;14151;14151;2014;1;6;16;1;1;1;1;1;0;8,89;2;5,5;8;0;3,97;0;0;219;0;36;94,44444444;81;100;90;100;61;100;51;100;111;100;7;100; ; ; 
529568;5,5;14151;14151;2014;3;2;32;1;1;1;1;1;1;8,89;6;4,21;0;0;0;0;0;196;2;49;100;118;100;120;100;21;68,18181818;9;34,7826087;64;100;5;100; ; ; 
532030;0;14151;14151;2014;3;9;39;1;1;0;0;0;0;7,78;0;0;0;0;0;0;0;59;2;40;100;114;79,62962963;0;0;0;0;0;0;0;0;0;0; ; ; 
533395;8;1314;1314;2013;1;1;11;0;0;0;0;0;0;0;4,5;7;0;2;0;0;2,08; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
537529;8;1314;1314;2013;1;4;14;0;0;0;0;0;0;0;6,63;6;2;5,9;0;0;3,16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;15,56;1,2
540701;8,5;14151;14151;2014;2;2;22;1;1;1;1;1;1;10;9;8;8,5;0;7,82;0;0;223;0;59;88,88888889;96;100;126;100;130;100;145;100;175;100;10;100; ; ; 
547191;8,4;1314;1314;2013;1;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;25,09;0,16
547656;2;14151;14151;2014;3;3;33;1;1;1;1;1;1;6,67;6;5,86;9,5;0;0;0;0;182;1;39;100;117;100;100;100;40;100;37;100;47;51,11111111;0;0; ; ; 
599977;10;1314;1314;2013;1;4;14;0;0;0;0;0;0;7;6;5;7,23;6;0;0;4,81; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
600554;10;14151;14151;2014;1;5;15;0;0;0;0;1;1;10;10;8,5;6;50;10;0;0;225;0;31;100;92;100;86;100;60;100;72;100;126;100;13;100; ; ; 
602560;10;14151;14151;2014;3;3;33;1;1;1;1;1;1;8,89;8;8,86;8;0;7,69;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
604831;10;14151;14151;2014;1;6;16;1;1;1;1;1;1;7,78;10;7;6,5;0;8,46;0;0;220;0;42;100;96;100;98;100;84;100;50;100;129;100;10;100; ; ; 
604943;2,6;1314;1314;2013;3;9;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
606581;10;1314;1314;2013;1;6;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Advanced Training;12,28;0,51
607331;1;1314;1314;2013;1;2;12;0;0;0;0;0;0;6,67;5;0;0;0;0;0;0,25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;0;0,11
607571;4;14151;14151;2014;3;9;39;0;1;1;1;1;0;8,89;9;0;7,5;0;8,46;0;0;216;4;69;100;127;100;128;100;52;100;62;100;135;100;8;100; ; ; 
610112;9,7;1314;1314;2013;1;2;12;0;0;0;0;0;0;5;7;8;3,33;4;0;0;4,21; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
614170;9,5;1314;1314;2013;1;4;14;0;0;0;0;0;0;7;2,75;4;3,9;7;0;0;3,79; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
616063;1;1314;1314;2013;3;9;39;0;0;0;0;0;0;0;2,5;2;0;0;0;0;0,85; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;27;0,48
617011;8,7;1314;1314;2013;1;6;16;0;0;0;0;0;0;7;5;6;5,33;3;0;0;4,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
617753;4;14151;14151;2014;3;3;33;1;1;1;0;0;0;6,67;3;4,57;0;0;0;0;0;77;0;47;100;151;100;6;11,62790698;0;0;0;0;0;0;0;0; ; ; 
618843;6,1;1314;1314;2013;1;5;15;0;0;0;0;0;0;1;3,63;7;1,33;0;0;0;1,99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
619231;10;14151; ; ; ; ; ;1;1;1;1;1;1;7,78;10;8;9;0;8,59;0;0;225;0;37;100;79;100;62;100;41;100;40;100;68;100;5;100; ; ; 
619798;2,1;1314;1314;2013;1;2;12;0;0;0;0;0;0;0;0;3;5,33;4;0;0;1,9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;54,37;3,68
619913;10;1314;1314;2013;2;2;22;0;0;0;0;0;0;6;6;9;2,33;5;0;0;4,36; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
623007;0;14152;14152;2014;1;2;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
623338;5;1314;1314;2013;1;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
624030;3,5;1314; ; ; ; ; ;0;0;0;0;0;0;2;2,63;1;0,33;3;0;0;1,38; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;38,84;4,29
626708;5;14152;14152;2014;1;2;12;1;1;1;1;0;0;7,78;0;0;4,5;0;8,08;0;0;136;5;88;100;107;81,48148148;120;100;53;100;19;60,86956522;0;0;0;0; ; ; 
627322;7,8;1314;1314;2013;1;6;16;0;0;0;0;0;0;0;2,5;5;0;3;0;0;1,62; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
627412;6;1314;1314;2013;1;6;16;0;0;0;0;0;0;2;6;6;1,33;9;0;0;3,74; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
627575;6;14152;14152;2014;2;5;25;1;1;1;1;1;0;6,67;3;5,71;8;0;5;0;0;210;0;50;100;152;100;137;100;53;100;42;100;55;100;6;100; ; ; 
628337;8;1314;1314;2013;1;2;12;0;0;0;0;0;0;3;2,25;5;0;3;0;0;2,04; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
629183;4;14151;14151;2014;1;2;12;1;1;1;1;1;1;6,67;5;5,5;3;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
629394;5,1;1314;1314;2013;3;3;33;0;0;0;0;0;0;1;4,5;0;0;0;0;0;0,85; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;64,72;4,7
629633;0;1314;1314;2013;3;9;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
629640;0;1314;1314;2013;3;9;39;0;0;0;0;0;0;0;0;0;3,33;0;0;0;0,51; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
631048;3,2;1314;1314;2013;2;2;22;0;0;0;0;0;0;2;0;0;0;0;0;0;0,31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
634279;7,7;1314;1314;2013;3;7;37;0;0;0;0;0;0;0;2,63;0;2,67;4;0;0;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
634443;10;14151;14151;2014;1;5;15;1;1;1;1;1;1;10;9;9;9;0;9,62;0;0;218;0;27;100;119;100;155;100;60;90,90909091;60;100;128;100;9;100; ; ; 
635122;0;1314;1314;2013;3;9;39;0;0;0;0;0;0;2;1,75;4;3,67;3;0;0;2,22; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;0;0,09
636241;2,5;14151;14151;2014;1;5;15;1;1;1;1;1;1;6,67;5;4,5;0;40;3,21;0;0;217;1;22;88,88888889;151;100;245;100;45;100;56;100;115;100;25;100; ; ; 
636685;7;14151;14151;2014;1;2;12;1;1;1;1;1;1;8,89;8;5,5;7,5;0;4,23;0;0;210;3;42;77,77777778;146;100;114;100;72;100;76;100;158;93,33333333;32;100; ; ; 
636705;4,4;1314;1314;2013;1;2;12;0;0;0;0;0;0;2;0;0;0;0;0;0;0,31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;2,61;0,19
636784;10;1314;1314;2013;1;2;12;0;0;0;0;0;0;0;3,75;5;3,67;8;0;0;3,14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
636938;0,9;1314;1314;2013;1;2;12;1;1;0;0;0;0;6,67;3;1,11;0;0;0;0;0;42;0;32;100;13;11,11111111;39;41,86046512;0;0;0;0;0;0;0;0; ; ; 
637218;9,4;1314;1314;2013;2;5;25;0;0;0;0;0;0;4;4,88;0;3;4;0;0;2,44; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
637525;10;1314;1314;2013;2;1;21;0;0;0;0;0;0;8;7;8;5,33;6;0;0;5,28; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
637537;10;1314;1314;2013;1;5;15;0;0;0;0;0;0;4;5,88;5;9;10;0;0;5,21; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
637793;0;14152;14152;2014;4;0;40;1;1;1;1;0;0;8,89;3;2,71;3;0;4,62;0;0;137;9;46;100;82;100;50;69,76744186;32;95,45454545;39;100;0;0;0;0; ; ; 
638356;9,7;1314;1314;2013;1;2;12;0;0;0;0;0;0;0;4,75;4;4;8;0;0;3,19; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
639315;3;1314;1314;2013;1;4;14;0;0;0;0;0;0;0;5,75;4;2,33;2;0;0;2,17; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
639803;9,8;1314;1314;2013;1;2;12;0;0;0;0;0;0;3;4,5;0;4,67;0;0;0;1,87; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
640502;4;14151;14151;2014;1;2;12;0;0;0;0;0;0;7,78;3;2,32;6,5;70;9,23;0;0;97;0;38;77,77777778;84;81,48148148;0;0;0;0;16;30,43478261;67;71,11111111;0;0; ; ; 
641661;0;14151;14151;2014;3;9;39;1;1;1;1;0;0;8,89;7;6;0;0;0;0;0;115;2;21;61,11111111;57;57,40740741;56;67,44186047;15;31,81818182;38;73,91304348;25;48,88888889;0;0; ; ; 
643258;9,7;1314;1314;2013;1;4;14;0;0;0;0;0;0;3;2,13;4;3,33;6;25;0;6,69; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
643565;0;1314;1314;2013;1;2;12;0;0;0;0;0;0;1;3,25;3;2;0;0;0;1,42; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;13,11;0,93
643744;0;14152;14152;2014;3;3;33;1;1;0;0;0;0;8,89;1;1,29;0;0;0;0;0;5;1;5;11,11111111;10;7,407407407;0;0;0;0;0;0;0;0;0;0; ; ; 
644908;10;1314;1314;2013;1;2;12;0;0;0;0;0;0;8;1;8;0;0;0;0;2,62; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;61,54;1,43
645445;5,5;1314;1314;2013;3;9;39;0;0;0;0;0;0;5;2,63;0;1,33;0;0;0;1,38; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
646276;2;14152;14152;2014;1;2;12;1;1;1;1;1;0;7,78;5;7;3,5;0;6,15;0;0;199;4;58;100;130;100;107;100;53;100;52;91,30434783;90;100;0;0; ; ; 
646480;4;1314;1314;2013;1;2;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0,15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;28,15;0,18
646978;0;14151;14151;2014;1;6;16;1;1;1;0;0;0;6,67;9;10;8;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
652080;5;1314;1314;2013;3;9;39;0;0;0;0;0;0;7;3,88;7;2;9;0;0;4,44; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
652626;0;14151;14151;2014;2;1;21;1;1;1;1;1;1;7,78;8;4,5;4;0;5,38;0;0;220;0;32;100;90;100;71;100;39;100;47;100;61;100;5;100; ; ; 
652641;9,6;1314;1314;2013;1;2;12;0;0;0;0;0;0;1;4;4;2,33;7;0;0;2,82; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
653111;0;14152;14152;2014;3;9;39; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
653742;5,1;1314;1314;2013;1;2;12;0;0;0;0;0;0;7;0;0;0,33;0;0;0;1,13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Java Essential Training;2,16;0,15
653855;4;14151;14151;2014;2;2;22;1;1;1;1;1;1;8,89;9;7;9;0;9,62;0;0;220;0;33;100;123;100;107;100;38;100;58;100;120;100;8;100; ; ; 
654016;4;14152;14152;2014;6;0;60;1;1;1;0;0;0;10;3;3,18;3,5;0;3,21;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
654390;6,5;1314;1314;2013;1;6;16;0;0;0;0;0;0;2;4,88;4;0;7;0;0;2,75; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
654948;9;14151;14151;2014;1;5;15;1;1;1;1;1;1;10;10;7;7;0;8,85;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
